id 	 idx 	 XYZPosition_0 	 XYZPosition_1 	 XYZPosition_2 	 XPhi 	 XTheta 	 XPsi 	 Order 	 GeometricalHitOrder
1	174	-26.7116	-17.1163	85	3.14159	0.785398	0.569867	48	48
1	175	-29.3443	-12.0577	82.25	3.14159	0.785398	0.389872	49	49
1	176	31.6826	-1.64003	90.5	3.14159	0.785398	3.08987	22	22
1	177	30.8771	-7.28566	87.75	3.14159	0.785398	2.90987	23	23
1	178	29.0739	-12.6958	90.5	3.14159	0.785398	2.72987	26	26
1	179	26.3312	-17.6958	87.75	3.14159	0.785398	2.54987	27	27
1	180	22.7377	-22.124	90.5	3.14159	0.785398	2.36987	30	30
1	181	18.4095	-25.8373	87.75	3.14159	0.785398	2.18988	31	31
1	182	13.4865	-28.7157	90.5	3.14159	0.785398	2.00987	34	34
1	183	8.12762	-30.6662	87.75	3.14159	0.785398	1.82987	35	35
1	184	2.50612	-31.6259	90.5	3.14159	0.785398	1.64987	38	38
1	185	-3.19632	-31.5636	87.75	3.14159	0.785398	1.46987	39	39
1	186	-8.79568	-30.4813	90.5	3.14159	0.785398	1.28987	42	42
1	187	-14.1105	-28.4142	87.75	3.14159	0.785398	1.10987	43	43
1	188	-18.9694	-25.4291	90.5	3.14159	0.785398	0.929877	46	46
1	189	-23.2154	-21.6222	87.75	3.14159	0.785398	0.749881	47	47
1	190	-26.7116	-17.1163	90.5	3.14159	0.785398	0.569867	50	50
1	191	-29.3443	-12.0577	87.75	3.14159	0.785398	0.389872	51	51
1	192	31.6826	-1.64003	96	3.14159	0.785398	3.08987	24	24
1	193	30.8771	-7.28566	93.25	3.14159	0.785398	2.90987	25	25
1	194	29.0739	-12.6958	96	3.14159	0.785398	2.72987	28	28
1	195	26.3312	-17.6958	93.25	3.14159	0.785398	2.54987	29	29
1	196	22.7377	-22.124	96	3.14159	0.785398	2.36987	32	32
1	197	18.4095	-25.8373	93.25	3.14159	0.785398	2.18988	33	33
1	198	13.4865	-28.7157	96	3.14159	0.785398	2.00987	36	36
1	199	8.12762	-30.6662	93.25	3.14159	0.785398	1.82987	37	37
1	200	2.50612	-31.6259	96	3.14159	0.785398	1.64987	40	40
1	201	-3.19632	-31.5636	93.25	3.14159	0.785398	1.46987	41	41
1	202	-8.79568	-30.4813	96	3.14159	0.785398	1.28987	44	44
1	203	-14.1105	-28.4142	93.25	3.14159	0.785398	1.10987	45	45
1	204	-18.9694	-25.4291	96	3.14159	0.785398	0.929877	48	48
1	205	-23.2154	-21.6222	93.25	3.14159	0.785398	0.749881	49	49
1	206	-26.7116	-17.1163	96	3.14159	0.785398	0.569867	52	52
1	207	-29.3443	-12.0577	93.25	3.14159	0.785398	0.389872	53	53
1	208	31.6826	-1.64003	101.5	3.14159	0.785398	3.08987	26	26
1	209	30.8771	-7.28566	98.75	3.14159	0.785398	2.90987	27	27
1	210	29.0739	-12.6958	101.5	3.14159	0.785398	2.72987	30	30
1	211	26.3312	-17.6958	98.75	3.14159	0.785398	2.54987	31	31
1	212	22.7377	-22.124	101.5	3.14159	0.785398	2.36987	34	34
1	213	18.4095	-25.8373	98.75	3.14159	0.785398	2.18988	35	35
1	214	13.4865	-28.7157	101.5	3.14159	0.785398	2.00987	38	38
1	215	8.12762	-30.6662	98.75	3.14159	0.785398	1.82987	39	39
1	216	2.50612	-31.6259	101.5	3.14159	0.785398	1.64987	42	42
1	217	-3.19632	-31.5636	98.75	3.14159	0.785398	1.46987	43	43
1	218	-8.79568	-30.4813	101.5	3.14159	0.785398	1.28987	46	46
1	219	-14.1105	-28.4142	98.75	3.14159	0.785398	1.10987	47	47
1	220	-18.9694	-25.4291	101.5	3.14159	0.785398	0.929877	50	50
1	221	-23.2154	-21.6222	98.75	3.14159	0.785398	0.749881	51	51
1	222	-26.7116	-17.1163	101.5	3.14159	0.785398	0.569867	54	54
1	223	-29.3443	-12.0577	98.75	3.14159	0.785398	0.389872	55	55
1	224	31.6826	-1.64003	107	3.14159	0.785398	3.08987	28	28
1	225	30.8771	-7.28566	104.25	3.14159	0.785398	2.90987	29	29
1	226	29.0739	-12.6958	107	3.14159	0.785398	2.72987	32	32
1	227	26.3312	-17.6958	104.25	3.14159	0.785398	2.54987	33	33
1	228	22.7377	-22.124	107	3.14159	0.785398	2.36987	36	36
1	229	18.4095	-25.8373	104.25	3.14159	0.785398	2.18988	37	37
1	230	13.4865	-28.7157	107	3.14159	0.785398	2.00987	40	40
1	231	8.12762	-30.6662	104.25	3.14159	0.785398	1.82987	41	41
1	232	2.50612	-31.6259	107	3.14159	0.785398	1.64987	44	44
1	233	-3.19632	-31.5636	104.25	3.14159	0.785398	1.46987	45	45
1	234	-8.79568	-30.4813	107	3.14159	0.785398	1.28987	48	48
1	235	-14.1105	-28.4142	104.25	3.14159	0.785398	1.10987	49	49
1	236	-18.9694	-25.4291	107	3.14159	0.785398	0.929877	52	52
1	237	-23.2154	-21.6222	104.25	3.14159	0.785398	0.749881	53	53
1	238	-26.7116	-17.1163	107	3.14159	0.785398	0.569867	56	56
1	239	-29.3443	-12.0577	104.25	3.14159	0.785398	0.389872	57	57
1	240	31.6826	-1.64003	112.5	3.14159	0.785398	3.08987	30	30
1	241	30.8771	-7.28566	109.75	3.14159	0.785398	2.90987	31	31
1	242	29.0739	-12.6958	112.5	3.14159	0.785398	2.72987	34	34
1	243	26.3312	-17.6958	109.75	3.14159	0.785398	2.54987	35	35
1	244	22.7377	-22.124	112.5	3.14159	0.785398	2.36987	38	38
1	245	18.4095	-25.8373	109.75	3.14159	0.785398	2.18988	39	39
1	246	13.4865	-28.7157	112.5	3.14159	0.785398	2.00987	42	42
1	247	8.12762	-30.6662	109.75	3.14159	0.785398	1.82987	43	43
1	248	2.50612	-31.6259	112.5	3.14159	0.785398	1.64987	46	46
1	249	-3.19632	-31.5636	109.75	3.14159	0.785398	1.46987	47	47
1	250	-8.79568	-30.4813	112.5	3.14159	0.785398	1.28987	50	50
1	251	-14.1105	-28.4142	109.75	3.14159	0.785398	1.10987	51	51
1	252	-18.9694	-25.4291	112.5	3.14159	0.785398	0.929877	54	54
1	253	-23.2154	-21.6222	109.75	3.14159	0.785398	0.749881	55	55
1	254	-26.7116	-17.1163	112.5	3.14159	0.785398	0.569867	58	58
1	255	-29.3443	-12.0577	109.75	3.14159	0.785398	0.389872	59	59
1	256	31.6581	-1.90909	-30.018	3.14159	2.35619	3.08987	0	0
1	257	30.8771	-7.28566	-27.25	3.14159	2.35619	2.90987	1	1
1	258	28.9652	-13.1013	-29.9043	3.14159	2.35619	2.72987	4	4
1	259	26.13	-18.1549	-27.5288	3.14159	2.35619	2.54987	5	5
1	260	22.5583	-22.4875	-30.2641	3.14159	2.35619	2.36987	8	8
1	261	18.3794	-26.0302	-27.2099	3.14159	2.35619	2.18988	9	9
1	262	13.3399	-28.9413	-30.0538	3.14159	2.35619	2.00987	12	12
1	263	8.55156	-30.66	-26.8424	3.14159	2.35619	1.82987	13	13
1	264	2.41872	-31.7732	-30.1466	3.14159	2.35619	1.64987	16	16
1	265	-2.98627	-31.6959	-27.1444	3.14159	2.35619	1.46987	17	17
1	266	-9.10185	-30.462	-30.2434	3.14159	2.35619	1.28987	20	20
1	267	-14.1343	-28.4326	-27.2822	3.14159	2.35619	1.10987	21	21
1	268	-19.1565	-25.3368	-30.2138	3.14159	2.35619	0.929877	24	24
1	269	-23.2402	-21.6048	-27.3256	3.14159	2.35619	0.749881	25	25
1	270	-26.6902	-17.1087	-30.091	3.14159	2.35619	0.569867	28	28
1	271	-29.3324	-11.9426	-27.4616	3.14159	2.35619	0.389872	29	29
1	272	31.6529	-1.72135	-35.3753	3.14159	2.35619	3.08987	2	2
